TEAM_ID,NICKNAME,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612739,Cavaliers,0,22019,2020-01-06,East,Cleveland,36,10,26,278,6-13,4-13
1610612739,Cavaliers,0,22019,2020-01-05,East,Cleveland,36,10,26,278,6-13,4-13
1610612752,Warriors,0,22019,2020-01-06,East,New York,36,10,26,278,5-12,5-14
1610612752,Warriors,0,22019,2020-01-05,East,New York,36,10,26,278,5-12,5-14
1610612739,Cavaliers,0,22019,2020-01-19,East,Cleveland,43,12,31,279,6-14,6-17
1610612739,Cavaliers,0,22019,2020-01-18,East,Cleveland,43,12,31,279,6-14,6-17
1610612737,Hawks,0,22019,2020-02-21,East,Atlanta,57,16,41,281,10-17,6-24
1610612737,Hawks,0,22019,2020-02-20,East,Atlanta,57,16,41,281,10-17,6-24
1610612739,Cavaliers,0,22019,2020-02-25,East,Cleveland,57,16,41,281,8-22,8-19
1610612739,Cavaliers,0,22019,2020-02-24,East,Cleveland,57,16,41,281,8-22,8-19
1610612737,Hawks,0,22019,2020-02-27,East,Atlanta,60,17,43,283,11-18,6-25
1610612737,Hawks,0,22019,2020-02-26,East,Atlanta,60,17,43,283,11-18,6-25
1610612739,Cavaliers,0,22019,2020-03-01,East,Cleveland,60,17,43,283,9-23,8-20
1610612739,Cavaliers,0,22019,2020-02-29,East,Cleveland,60,17,43,283,9-23,8-20
1610612750,Warriors,0,22019,2020-02-25,West,Minnesota,56,16,40,286,7-21,9-19
1610612750,Warriors,0,22019,2020-02-24,West,Minnesota,56,16,40,286,7-21,9-19
1610612737,Hawks,0,22019,2020-02-25,East,Atlanta,59,17,42,288,11-17,6-25
1610612737,Hawks,0,22019,2020-02-24,East,Atlanta,59,17,42,288,11-17,6-25
1610612739,Cavaliers,0,22019,2020-02-28,East,Cleveland,59,17,42,288,9-22,8-20
1610612750,Warriors,0,22019,2020-03-01,West,Minnesota,59,17,42,288,7-22,10-20
1610612752,Warriors,0,22019,2020-02-28,East,New York,59,17,42,288,8-20,9-22
1610612752,Warriors,0,22019,2020-02-27,East,New York,59,17,42,288,8-20,9-22
1610612739,Cavaliers,0,22019,2020-01-10,East,Cleveland,38,11,27,289,6-14,5-13
1610612739,Cavaliers,0,22019,2020-01-09,East,Cleveland,38,11,27,289,6-14,5-13
1610612750,Warriors,0,22019,2020-02-23,West,Minnesota,55,16,39,291,7-21,9-18
1610612737,Hawks,0,22019,2020-02-23,East,Atlanta,58,17,41,293,11-17,6-24
1610612737,Hawks,0,22019,2020-02-22,East,Atlanta,58,17,41,293,11-17,6-24
1610612739,Cavaliers,0,22019,2020-02-27,East,Cleveland,58,17,41,293,9-22,8-19
1610612739,Cavaliers,0,22019,2020-02-26,East,Cleveland,58,17,41,293,9-22,8-19
1610612750,Warriors,0,22019,2020-02-29,West,Minnesota,58,17,41,293,7-21,10-20
1610612750,Warriors,0,22019,2020-02-28,West,Minnesota,58,17,41,293,7-21,10-20
1610612752,Warriors,0,22019,2020-02-26,East,New York,58,17,41,293,8-20,9-21
1610612739,Cavaliers,0,22019,2020-01-16,East,Cleveland,41,12,29,293,6-14,6-15
1610612739,Cavaliers,0,22019,2020-01-15,East,Cleveland,41,12,29,293,6-14,6-15
1610612739,Cavaliers,0,22019,2020-01-14,East,Cleveland,41,12,29,293,6-14,6-15
1610612752,Warriors,0,22019,2020-02-05,East,New York,51,15,36,294,7-18,8-18
1610612752,Warriors,0,22019,2020-02-04,East,New York,51,15,36,294,7-18,8-18
1610612752,Warriors,0,22019,2020-02-03,East,New York,51,15,36,294,7-18,8-18
1610612739,Cavaliers,0,22019,2020-01-03,East,Cleveland,34,10,24,294,6-11,4-13
1610612739,Cavaliers,0,22019,2020-01-02,East,Cleveland,34,10,24,294,6-11,4-13
1610612752,Warriors,0,22019,2020-01-02,East,New York,34,10,24,294,5-12,5-12
1610612752,Warriors,0,22019,2020-01-01,East,New York,34,10,24,294,5-12,5-12
1610612764,Warriors,0,22019,2020-01-03,East,Washington,34,10,24,294,5-10,5-14
